ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Accuracy ( m),Time
-1.03,-0.18,9.69,29.7955,-95.568,6,78.1645,2019-12-14 16:28:30:975
-1.01,-0.03,9.7,29.7955,-95.568,6,78.1645,2019-12-14 16:28:31:475
-1.07,-0.02,9.67,29.7955,-95.568,6,78.1645,2019-12-14 16:28:31:975
-0.91,-0.03,9.75,29.7955,-95.568,6,78.1645,2019-12-14 16:28:32:475
-0.96,-0.2,9.67,29.7955,-95.568,6,78.1645,2019-12-14 16:28:32:975
-0.76,-0.19,9.78,29.7955,-95.568,6,78.1645,2019-12-14 16:28:33:475
-0.93,-0.14,9.66,29.7955,-95.568,6,78.1645,2019-12-14 16:28:33:975
-0.92,-0.23,9.77,29.7955,-95.568,6,78.1645,2019-12-14 16:28:34:475
0.14,1.35,15.84,29.7955,-95.568,6,78.1645,2019-12-14 16:28:34:975
-1.52,-0.15,7.68,29.7955,-95.568,6,78.1645,2019-12-14 16:28:35:475
-2.9,-0.34,9.23,29.7955,-95.568,6,78.1645,2019-12-14 16:28:35:975
-1.2,0.26,9.62,29.7955,-95.568,6,78.1645,2019-12-14 16:28:36:475
-1.89,-0.37,9.48,29.7955,-95.568,6,78.1645,2019-12-14 16:28:36:975
-1.82,-0.63,9.43,29.7955,-95.568,6,78.1645,2019-12-14 16:28:37:475
-0.96,0.92,10.44,29.7955,-95.568,6,78.1645,2019-12-14 16:28:37:975
-0.95,-0.42,4.17,29.7955,-95.568,6,78.1645,2019-12-14 16:28:38:475
-0.7,0.25,9.79,29.7955,-95.568,6,78.1645,2019-12-14 16:28:38:975
-0.41,0.34,9.83,29.7955,-95.568,6,78.1645,2019-12-14 16:28:39:475
-1.02,-0.69,10.07,29.7955,-95.568,6,78.1645,2019-12-14 16:28:39:975
1.27,1.11,21.43,29.7955,-95.568,6,78.1645,2019-12-14 16:28:40:475
-0.96,-0.02,6.75,29.7955,-95.568,6,78.1645,2019-12-14 16:28:40:975
-0.53,0.29,9.82,29.7955,-95.568,6,78.1645,2019-12-14 16:28:41:475
-0.77,0.07,9.64,29.7955,-95.568,6,78.1645,2019-12-14 16:28:41:975
1.44,-1.02,5.81,29.7955,-95.568,6,78.1645,2019-12-14 16:28:42:475
-1.09,-1.62,5.08,29.7955,-95.568,6,78.1645,2019-12-14 16:28:42:975
-2.11,-0.03,8.93,29.7955,-95.568,6,78.1645,2019-12-14 16:28:43:475
-1.66,-0.69,9.56,29.7955,-95.568,6,78.1645,2019-12-14 16:28:43:975
-1.43,-0.02,4.13,29.7955,-95.568,6,78.1645,2019-12-14 16:28:44:475
0.94,-0.9,19.85,29.7955,-95.568,6,78.1645,2019-12-14 16:28:44:975
-1.43,-0.11,8.68,29.7955,-95.568,6,78.1645,2019-12-14 16:28:45:475
-1.21,-0.47,9.9,29.7955,-95.568,6,78.1645,2019-12-14 16:28:45:975
-1.06,-0.25,9.6,29.7955,-95.568,6,78.1645,2019-12-14 16:28:46:475
1.41,-2.35,7.55,29.7955,-95.568,6,78.1645,2019-12-14 16:28:46:975
-0.07,-0.79,5.39,29.7955,-95.568,6,78.1645,2019-12-14 16:28:47:475
-0.97,-0.2,9.97,29.7955,-95.568,6,78.1645,2019-12-14 16:28:47:975
0.18,-0.84,5.66,29.7955,-95.568,6,78.1645,2019-12-14 16:28:48:475
-1.44,-1.23,8.08,29.7955,-95.568,6,78.1645,2019-12-14 16:28:48:975
-0.14,0.76,9.92,29.7955,-95.568,6,78.1645,2019-12-14 16:28:49:475
-1.35,0.4,9.72,29.7955,-95.568,6,78.1645,2019-12-14 16:28:49:975
-2.3,0.47,9.03,29.7955,-95.568,6,78.1645,2019-12-14 16:28:50:475
-2.34,0.98,9.37,29.7955,-95.568,6,78.1645,2019-12-14 16:28:50:975
0.08,-1.6,-2.86,29.7955,-95.568,6,78.1645,2019-12-14 16:28:51:475
1.05,-0.92,-4.42,29.7955,-95.568,6,78.1645,2019-12-14 16:28:51:975
1.56,-0.05,0.7,29.7955,-95.568,6,78.1645,2019-12-14 16:28:52:475
3.61,6.48,19.04,29.7955,-95.568,6,78.1645,2019-12-14 16:28:52:975
2.02,3.49,15.58,29.7955,-95.568,6,78.1645,2019-12-14 16:28:53:475
0.37,4.92,18.7,29.7955,-95.568,6,78.1645,2019-12-14 16:28:53:975
-1.35,-0.12,9.35,29.7955,-95.568,6,78.1645,2019-12-14 16:28:54:475
-2.11,0.44,9.35,29.7955,-95.568,6,78.1645,2019-12-14 16:28:54:975
-1.83,0.83,9.46,29.7955,-95.568,6,78.1645,2019-12-14 16:28:55:475
